"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 23 15:40:08 GMT 2023","Tue May 23 15:41:39 GMT 2023","91368","","tests.desktop.FirstTest","","tests.desktop.FirstTest","cardMtsCashback","cardMtsCashback(String) [1] 1999999999",""
"broken","Tue May 23 15:38:32 GMT 2023","Tue May 23 15:40:08 GMT 2023","95232","","tests.desktop.SecondTest","","tests.desktop.SecondTest","depositAndAccounts","depositAndAccounts()",""
"broken","Tue May 23 15:41:39 GMT 2023","Tue May 23 15:43:11 GMT 2023","91372","","tests.desktop.FirstTest","","tests.desktop.FirstTest","cardMtsCashback","cardMtsCashback(String) [2] 1000000000",""
