"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 23 15:15:05 GMT 2023","Tue May 23 15:16:40 GMT 2023","94905","","tests.desktop.SecondTest","","tests.desktop.SecondTest","depositAndAccounts","depositAndAccounts()",""
"broken","Tue May 23 15:16:40 GMT 2023","Tue May 23 15:18:12 GMT 2023","91484","","tests.desktop.FirstTest","","tests.desktop.FirstTest","cardMtsCashback","cardMtsCashback(String) [1] 1999999999",""
"failed","Tue May 23 15:18:12 GMT 2023","Tue May 23 15:21:04 GMT 2023","171970","","tests.desktop.FirstTest","","tests.desktop.FirstTest","cardMtsCashback","cardMtsCashback(String) [2] 1000000000",""
