"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 23 15:26:18 GMT 2023","Tue May 23 15:26:19 GMT 2023","1133","","tests.desktop.FirstTest","","tests.desktop.FirstTest","cardMtsCashback","cardMtsCashback(String) [2] 1000000000",""
"broken","Tue May 23 15:26:03 GMT 2023","Tue May 23 15:26:17 GMT 2023","13389","","tests.desktop.SecondTest","","tests.desktop.SecondTest","depositAndAccounts","depositAndAccounts()",""
"broken","Tue May 23 15:26:17 GMT 2023","Tue May 23 15:26:18 GMT 2023","1217","","tests.desktop.FirstTest","","tests.desktop.FirstTest","cardMtsCashback","cardMtsCashback(String) [1] 1999999999",""
